Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-04-30,35.988494873046875,36.92557351957239,35.44638225831873,36.92557351957239,37076300
2020-05-01,33.40959167480469,35.92654055007912,33.301169734400155,35.33796303605037,35399300
2020-05-04,34.75713348388672,34.80359834803824,32.69710746866221,32.921694538706916,27465600
2020-05-05,34.71840286254883,36.51511668713095,34.58674555461968,35.82585751837426,29276200
2020-05-06,34.06787109375,35.05916074479334,33.99817085551875,34.79584906195043,22659000
2020-05-07,34.261474609375,35.05915263120346,34.05237394307253,34.81907343190607,22160300
2020-05-08,35.76390075683594,35.79487929221161,34.83456537549589,35.090133860931594,19977400
2020-05-11,35.423152923583984,35.779397289916275,35.2450277861415,35.70969704830549,22258000
2020-05-12,34.8310432434082,36.05470806118519,34.8310432434082,35.857342670848354,25439100
2020-05-13,33.10212707519531,34.63368158508398,32.841603286330205,34.531053739370925,30827900
2020-05-14,33.39422607421875,33.591591480108406,31.736357869368458,32.42318863862848,24856500
2020-05-15,33.15739059448242,33.95474556702643,33.03897013773635,33.457386876430455,22445600
2020-05-18,35.794189453125,35.98366156426742,34.78367955785086,35.05209662522768,32026100
2020-05-19,34.6889533996582,36.81260775221404,34.68106010606285,35.959987489130356,21771600
2020-05-20,35.81787872314453,35.98366797928425,35.18630992600477,35.22578241115896,19352400
2020-05-21,35.17841720581055,36.14945481187492,35.04420714023414,35.873141388185914,19130700
2020-05-22,35.20998764038086,35.265249713787014,34.30210856902468,34.77578434437946,15406400
2020-05-26,36.24419403076172,36.55208367565993,35.89683189500236,36.109986959522196,20356500
2020-05-27,36.50471878051758,37.21523266800074,35.849463972339755,36.8362913256981,20788300
2020-05-28,35.5573616027832,36.67839595762648,35.4705203194952,36.65471306638716,19698000
2020-05-29,35.896820068359375,36.07049957323923,35.02841049773202,35.38366882155426,25874700
2020-06-01,36.53628158569336,36.670491622606114,35.36787878862947,35.77839917866116,19031000
2020-06-02,37.34943771362305,37.45996188043424,36.907338034820576,36.99417931204586,22319000
2020-06-03,38.87310028076172,38.999414048051406,37.8546938379874,37.89416632559835,23418000
2020-06-04,38.76256561279297,38.80204110433751,38.02047274973623,38.58888609853716,18731400
2020-06-05,41.904632568359375,42.1967325826108,40.73622648823833,40.77570198633415,41328900
2020-06-08,43.21513748168945,43.70460292301845,42.20462439472812,43.19934788531657,33579400
2020-06-09,42.25199508666992,42.6072534921649,41.40727121780282,41.74674002621383,27276900
2020-06-10,39.986236572265625,42.23620122742117,39.94676107776043,42.23620122742117,31156800
2020-06-11,36.45734405517578,38.557312201190484,36.39418566928296,37.52311621887754,39183000
2020-06-12,37.23890686035156,38.38362692510853,36.24418644565659,37.92574070614017,30978100
2020-06-15,37.2152214050293,37.70468678092491,35.32840855829042,35.80208433992396,27929300
2020-06-16,38.05205154418945,39.27571648046539,37.2941690946768,39.13361314473712,26203400
2020-06-17,36.812599182128906,37.99679170857839,36.78891328374094,37.894160846383386,19279400
2020-06-18,37.041542053222656,37.36522424599077,36.133662892050005,36.40207999438745,21478700
2020-06-19,36.29945373535156,38.099425702069844,36.29945373535156,38.06784951839033,48899900
2020-06-22,36.646812438964844,36.66260203511457,35.841564116231496,36.0705057315087,17565400
2020-06-23,36.86787033081055,37.2783908690459,36.709977352788016,37.02576330883308,18916600
2020-06-24,35.13105010986328,36.28366361541302,34.933684659807874,36.24419112771349,27626900
2020-06-25,35.65998458862305,35.715249679875626,34.491581599764814,34.775788301943905,19353600
2020-06-26,34.436317443847656,35.47840661463675,34.34158288601882,35.43104084150097,31518600
2020-06-29,34.98894119262695,35.19420291458467,34.37316204986838,34.586317063490334,17052100
2020-06-30,35.30472183227539,35.502087221746415,34.073160717815725,34.28631569983125,22153600
2020-07-01,34.507381439208984,35.82578447423127,34.47580223813529,35.12316381391257,17290100
2020-07-02,34.799468994140625,35.67576884598759,34.68104854876716,35.22577597205965,18216600
2020-07-06,35.044212341308594,35.58894296543878,34.61000890999243,35.26526070382051,22692000
2020-07-07,34.13632583618164,34.73631541369658,34.03369497013236,34.65737044692479,17407600
2020-07-08,34.05738067626953,34.6810562046742,33.82054274479721,34.065276980534634,18291400
2020-07-09,32.65214538574219,34.025807435555215,32.59688329244845,33.86791746132068,25882000
2020-07-10,33.67053985595703,33.71790562654593,32.44687191542016,32.462661509468845,18951000
2020-07-13,33.678436279296875,34.17579799763488,33.33896750457255,33.9310637844558,20028300
2020-07-14,34.79157257080078,34.88630711983636,33.36264598654443,33.575800980542255,21444100
2020-07-15,35.23367691040039,35.59682857370986,34.90210142666234,35.54945978701659,17332400
2020-07-16,34.95737075805664,35.37578759843035,34.570536126921645,34.981056662096165,14673700
2020-07-17,34.35737609863281,35.28104491072711,34.2547452267698,34.99684120731491,17958900
2020-07-20,33.552127838134766,34.34948296284967,33.536338240118106,34.11264501571559,18553900
2020-07-21,35.249473571777344,35.675780691241016,34.033701573630125,34.06528077108907,28821800
2020-07-22,34.42842483520508,34.85473487122838,34.23895270423116,34.85473487122838,21345400
2020-07-23,34.499481201171875,34.594215773767814,33.96264693719863,34.26264326390315,17934400
2020-07-24,34.28632736206055,35.06789288373745,34.09685519863586,34.64158578625817,16415300
2020-07-27,34.79157257080078,34.80736216423288,33.92316601293441,34.12842470443768,18547900
2020-07-28,34.38106155395508,34.93368542858322,34.31000986990921,34.66526829013857,19190500
2020-07-29,34.7599983215332,34.807367108558154,34.21527082275475,34.50737081384835,14143200
2020-07-30,33.05475997924805,34.0889558729968,33.02318380056328,34.049483390972846,29901100
2020-07-31,33.22055435180664,33.29160302348595,32.296882469724274,32.49424792187648,32116200
2020-08-03,33.354759216308594,33.55212465545835,32.738980009859795,33.19686626267727,23033600
2020-08-04,34.317901611328125,34.42052946564749,33.34686406619134,33.42580903283045,17724000
2020-08-05,34.61790466308594,34.98105944215863,34.36527708467954,34.85474565295543,17175100
2020-08-06,34.45210266113281,34.657364357164155,34.14421312864271,34.26263356954979,14434900
2020-08-07,34.294219970703125,34.357378361103294,33.796861198311944,34.128433713239396,18757900
2020-08-10,35.138938903808594,35.209990577193835,34.420528878049964,34.72842147042427,24367800
2020-08-11,35.50210189819336,36.64681922110204,35.312629720889014,35.92051573314458,28987500
2020-08-12,35.49404525756836,36.178324781381136,35.12372935223366,35.791907783948936,22503200
2020-08-13,34.624603271484375,35.31693484806454,34.55214989554066,35.01907233406,17338700
2020-08-14,34.777557373046875,34.84195865902988,34.14157816750757,34.29453390881488,13595700
2020-08-17,34.32674026489258,34.753408433233375,34.18988559616785,34.753408433233375,15554600
2020-08-18,34.157684326171875,34.769510453172515,34.04497975574827,34.286489988223025,13014000
2020-08-19,33.77931213378906,34.34283798653324,33.70685876599383,34.093275703912134,14473100
2020-08-20,33.264095306396484,33.72296569151957,33.24799421399242,33.56195783844828,15678500
2020-08-21,33.0145263671875,33.28018973218341,32.77301617144406,33.24798755382595,25517700
2020-08-24,33.988624572753906,34.222082704026235,33.07893293465547,33.23188868562271,18208900
2020-08-25,32.90987777709961,33.86786966400429,32.76497102836188,33.53780497431704,31285600
2020-08-26,32.209495544433594,32.87767703407989,32.20144653402656,32.716669187215906,26795000
2020-08-27,31.99213981628418,32.44295812113132,31.645974005936903,32.2014478762533,32034300
2020-08-28,32.75692367553711,32.942081643212695,32.008239722648675,32.07264409625909,33477100
2020-08-31,32.153141021728516,32.78107127371496,32.12094191137126,32.71666691106238,25259600
2020-09-01,31.742570877075195,32.000182160742035,31.436656326107546,32.000182160742035,22464100
2020-09-02,31.549362182617188,31.976033383984664,31.356155247367155,31.58156436214848,26413400
2020-09-03,31.484966278076172,32.22559810812192,31.299808320564736,31.557419658925813,28817200
2020-09-04,31.460811614990234,32.03238649720172,31.11464585343253,31.76672311560067,24632500
2020-09-08,30.73627471923828,31.138792719153955,30.06809336531332,30.792626993548986,38496400
2020-09-09,30.55112648010254,31.267608255431426,30.526973304202176,30.87313913940124,25886100
2020-09-10,29.786340713500977,30.889239496264544,29.70583831833878,30.808737101102352,34381200
2020-09-11,29.705833435058594,30.035898114516176,29.37576875560101,29.89099137026953,26838600
2020-09-14,29.512622833251953,29.794384235378057,29.375768172496123,29.713881855047447,26129900
2020-09-15,29.198654174804688,30.09224456759278,29.15035091242183,29.625322244130437,23724200
2020-09-16,30.438419342041016,30.71213176851394,29.198662876783093,29.351618646794392,30890900
2020-09-17,30.430368423461914,30.575275188366405,29.762189959486292,30.068101511200695,24696200
2020-09-18,29.93929672241211,30.44647041453998,29.544830683733412,30.21300916742101,46853800
2020-09-21,29.327465057373047,29.552874180270297,28.723687988782007,29.327465057373047,35351800
2020-09-22,28.602930068969727,29.657528407214834,28.554629871060182,29.351613846256075,27303200
2020-09-23,27.685190200805664,28.812241937161392,27.65298802068832,28.699537377719604,31251400
2020-09-24,27.62883949279785,28.031357554255827,27.178018158416045,27.693243856696295,26796000
2020-09-25,27.886451721191406,28.12796195179445,27.274625598932424,27.3712290769798,23486000
2020-09-28,28.425825119018555,28.90079652953636,28.256765208111656,28.28896738837668,23396500
2020-09-29,27.596635818481445,28.264817238433025,27.36317768939725,28.17626277834605,20770500
2020-09-30,27.63688850402832,28.11185681566174,27.475880683135102,27.88644770899249,22223700
2020-10-01,26.670848846435547,27.45173183354523,26.517890010582178,27.20217258931161,36890200
2020-10-02,26.550094604492188,26.847957150927975,25.930216336363458,25.962418522726654,32694300
2020-10-05,27.161916732788086,27.169965741781642,26.703043374969003,26.823800006653297,22965200
2020-10-06,26.880157470703125,27.709343750673987,26.815756173418347,27.46783351165978,26731800
2020-10-07,26.96870994567871,27.161919965172654,26.73524873448951,27.08141451081306,23779300
2020-10-08,28.385574340820312,28.449978709252107,27.17802007144793,27.274626624095625,34413700
2020-10-09,27.966957092285156,28.941050092923277,27.89450371623121,28.72368996476144,29228600
2020-10-12,27.878402709960938,27.95890509650277,27.55638702185522,27.80594933368561,17912800
2020-10-13,27.548341751098633,28.071613476589697,27.45173518897168,27.958908891744535,20995100
2020-10-14,27.491981506347656,28.03940624950723,27.3953749721651,27.419528141195105,17743000
2020-10-15,27.733495712280273,27.741544722475634,26.783552818830838,27.12971860564559,23251600
2020-10-16,27.451730728149414,27.88645097417115,27.27462486830172,27.669090851160284,22627200
2020-10-19,26.904312133789062,27.669097246111747,26.880162027084815,27.45173707286405,23645800
2020-10-20,27.129722595214844,27.314880566628307,26.831860038677505,27.09752040775956,23040600
2020-10-21,26.69499969482422,27.0653156018243,26.6788986026543,26.976761130374427,28619300
2020-10-22,28.063562393188477,28.144064784714185,26.582295663941974,26.71110133296474,31831500
2020-10-23,27.500030517578125,28.240665258193324,27.25852032403987,28.15211080400326,27429100
2020-10-26,26.847957611083984,27.18607443175362,26.525944954841478,27.057268755062704,30888700
2020-10-27,26.421289443969727,26.727204078431882,26.324685953970466,26.686952880179657,27100700
2020-10-28,25.41499137878418,26.06707177529966,25.374740184893675,25.841659561768186,42136400
2020-10-29,26.542041778564453,26.67084743453481,25.044674108553377,25.286184329626664,38622800
2020-10-30,26.260278701782227,26.67889787385647,25.76920615240726,26.09122184507029,47885700
2020-11-02,27.363182067871094,27.741546997464873,26.220029055326066,26.67889944832128,40130300
2020-11-03,26.896255493164062,27.76569593955131,26.670846371938755,27.76569593955131,36773000
2020-11-04,26.75135040283203,27.48393316298836,26.187824494026593,26.783552585271003,35410100
2020-11-05,26.703048706054688,27.306825843078805,26.67889860328391,26.864056556788316,30824100
2020-11-06,26.389083862304688,27.09751653009592,26.2602782018853,26.646695183143468,33985600
